,date,exercise_date,close,contract_type,exercise_price,maturity
253,2015-02-10,2015-03-25,0.126,put,2.4,0.1178082191780822
1,2015-02-10,2015-03-25,0.2072,call,2.2,0.1178082191780822
2569,2015-02-10,2015-09-23,0.1759,put,2.25,0.6164383561643836
3180,2015-02-10,2015-03-25,0.0622,call,2.45,0.1178082191780822
2875,2015-02-10,2015-09-23,0.2212,put,2.35,0.6164383561643836
225,2015-02-10,2015-03-25,0.0975,put,2.35,0.1178082191780822
3207,2015-02-10,2015-03-25,0.154,put,2.45,0.1178082191780822
1957,2015-02-10,2015-09-23,0.277,call,2.3,0.6164383561643836
29,2015-02-10,2015-03-25,0.1659,call,2.25,0.1178082191780822
57,2015-02-10,2015-03-25,0.1367,call,2.3,0.1178082191780822
3416,2015-02-11,2015-06-24,0.1989,put,2.45,0.3643835616438356
752,2015-02-11,2015-06-24,0.2643,call,2.2,0.3643835616438356
842,2015-02-11,2015-06-24,0.2323,call,2.25,0.3643835616438356
226,2015-02-11,2015-03-25,0.0752,put,2.35,0.11506849315068493
2570,2015-02-11,2015-09-23,0.1443,put,2.25,0.6136986301369863
932,2015-02-11,2015-06-24,0.2052,call,2.3,0.3643835616438356
114,2015-02-11,2015-03-25,0.078,call,2.4,0.11506849315068493
376,2015-02-11,2015-04-22,0.1577,call,2.3,0.1917808219178082
3029,2015-02-11,2015-09-23,0.2159,put,2.4,0.6136986301369863
658,2015-02-11,2015-04-22,0.0996,put,2.35,0.1917808219178082
705,2015-02-11,2015-04-22,0.1245,put,2.4,0.1917808219178082
3505,2015-02-11,2015-09-23,0.1925,call,2.45,0.6136986301369863
2723,2015-02-11,2015-09-23,0.1649,put,2.3,0.6136986301369863
423,2015-02-11,2015-04-22,0.1293,call,2.35,0.1917808219178082
611,2015-02-11,2015-04-22,0.0776,put,2.3,0.1917808219178082
564,2015-02-11,2015-04-22,0.0598,put,2.25,0.1917808219178082
3657,2015-02-11,2015-09-23,0.239,put,2.45,0.6136986301369863
2876,2015-02-11,2015-09-23,0.1882,put,2.35,0.6136986301369863
142,2015-02-11,2015-03-25,0.0321,put,2.2,0.11506849315068493
198,2015-02-11,2015-03-25,0.0564,put,2.3,0.11506849315068493
517,2015-02-11,2015-04-22,0.046,put,2.2,0.1917808219178082
3181,2015-02-11,2015-03-25,0.0591,call,2.45,0.11506849315068493
2417,2015-02-11,2015-09-23,0.1245,put,2.2,0.6136986301369863
470,2015-02-11,2015-04-22,0.1058,call,2.4,0.1917808219178082
1292,2015-02-11,2015-06-24,0.1019,put,2.25,0.3643835616438356
3235,2015-02-11,2015-04-22,0.0847,call,2.45,0.1917808219178082
86,2015-02-11,2015-03-25,0.105,call,2.35,0.11506849315068493
2111,2015-02-11,2015-09-23,0.2355,call,2.35,0.6136986301369863
1472,2015-02-11,2015-06-24,0.145,put,2.35,0.3643835616438356
254,2015-02-11,2015-03-25,0.0992,put,2.4,0.11506849315068493
1382,2015-02-11,2015-06-24,0.1226,put,2.3,0.3643835616438356
1805,2015-02-11,2015-09-23,0.2894,call,2.25,0.6136986301369863
2264,2015-02-11,2015-09-23,0.2117,call,2.4,0.6136986301369863
3281,2015-02-11,2015-04-22,0.1528,put,2.45,0.1917808219178082
282,2015-02-11,2015-04-22,0.2274,call,2.2,0.1917808219178082
1958,2015-02-11,2015-09-23,0.2614,call,2.3,0.6136986301369863
1562,2015-02-11,2015-06-24,0.1706,put,2.4,0.3643835616438356
30,2015-02-11,2015-03-25,0.1702,call,2.25,0.11506849315068493
1202,2015-02-11,2015-06-24,0.084,put,2.2,0.3643835616438356
3208,2015-02-11,2015-03-25,0.1297,put,2.45,0.11506849315068493
58,2015-02-11,2015-03-25,0.1363,call,2.3,0.11506849315068493
1652,2015-02-11,2015-09-23,0.321,call,2.2,0.6136986301369863
1112,2015-02-11,2015-06-24,0.1591,call,2.4,0.3643835616438356
3327,2015-02-11,2015-06-24,0.1358,call,2.45,0.3643835616438356
329,2015-02-11,2015-04-22,0.1887,call,2.25,0.1917808219178082
1022,2015-02-11,2015-06-24,0.1798,call,2.35,0.3643835616438356
170,2015-02-11,2015-03-25,0.0425,put,2.25,0.11506849315068493
2,2015-02-11,2015-03-25,0.2107,call,2.2,0.11506849315068493
199,2015-02-12,2015-03-25,0.0471,put,2.3,0.11232876712328767
3833,2015-02-12,2015-03-25,0.1502,put,2.5,0.11232876712328767
255,2015-02-12,2015-03-25,0.0888,put,2.4,0.11232876712328767
330,2015-02-12,2015-04-22,0.1927,call,2.25,0.18904109589041096
3858,2015-02-12,2015-04-22,0.0629,call,2.5,0.18904109589041096
4033,2015-02-12,2015-06-24,0.2169,put,2.5,0.36164383561643837
377,2015-02-12,2015-04-22,0.1569,call,2.3,0.18904109589041096
283,2015-02-12,2015-04-22,0.2266,call,2.2,0.18904109589041096
3946,2015-02-12,2015-06-24,0.1158,call,2.5,0.36164383561643837
3902,2015-02-12,2015-04-22,0.1721,put,2.5,0.18904109589041096
227,2015-02-12,2015-03-25,0.0657,put,2.35,0.11232876712328767
424,2015-02-12,2015-04-22,0.1278,call,2.35,0.18904109589041096
4120,2015-02-12,2015-09-23,0.1688,call,2.5,0.6109589041095891
933,2015-02-12,2015-06-24,0.2059,call,2.3,0.36164383561643837
3808,2015-02-12,2015-03-25,0.0373,call,2.5,0.11232876712328767
3030,2015-02-12,2015-09-23,0.2049,put,2.4,0.6109589041095891
2877,2015-02-12,2015-09-23,0.1796,put,2.35,0.6109589041095891
2724,2015-02-12,2015-09-23,0.156,put,2.3,0.6109589041095891
2571,2015-02-12,2015-09-23,0.1311,put,2.25,0.6109589041095891
3182,2015-02-12,2015-03-25,0.0536,call,2.45,0.11232876712328767
2418,2015-02-12,2015-09-23,0.116,put,2.2,0.6109589041095891
2265,2015-02-12,2015-09-23,0.2134,call,2.4,0.6109589041095891
3209,2015-02-12,2015-03-25,0.1165,put,2.45,0.11232876712328767
2112,2015-02-12,2015-09-23,0.2352,call,2.35,0.6109589041095891
1959,2015-02-12,2015-09-23,0.2579,call,2.3,0.6109589041095891
1806,2015-02-12,2015-09-23,0.2867,call,2.25,0.6109589041095891
1653,2015-02-12,2015-09-23,0.3177,call,2.2,0.6109589041095891
1563,2015-02-12,2015-06-24,0.1586,put,2.4,0.36164383561643837
3236,2015-02-12,2015-04-22,0.0826,call,2.45,0.18904109589041096
1473,2015-02-12,2015-06-24,0.134,put,2.35,0.36164383561643837
1293,2015-02-12,2015-06-24,0.0912,put,2.25,0.36164383561643837
3282,2015-02-12,2015-04-22,0.1421,put,2.45,0.18904109589041096
518,2015-02-12,2015-04-22,0.0372,put,2.2,0.18904109589041096
3658,2015-02-12,2015-09-23,0.2304,put,2.45,0.6109589041095891
565,2015-02-12,2015-04-22,0.0506,put,2.25,0.18904109589041096
612,2015-02-12,2015-04-22,0.0687,put,2.3,0.18904109589041096
3506,2015-02-12,2015-09-23,0.1899,call,2.45,0.6109589041095891
659,2015-02-12,2015-04-22,0.0897,put,2.35,0.18904109589041096
471,2015-02-12,2015-04-22,0.1048,call,2.4,0.18904109589041096
706,2015-02-12,2015-04-22,0.1139,put,2.4,0.18904109589041096
3417,2015-02-12,2015-06-24,0.1861,put,2.45,0.36164383561643837
843,2015-02-12,2015-06-24,0.2359,call,2.25,0.36164383561643837
3328,2015-02-12,2015-06-24,0.1342,call,2.45,0.36164383561643837
1023,2015-02-12,2015-06-24,0.1796,call,2.35,0.36164383561643837
1113,2015-02-12,2015-06-24,0.1558,call,2.4,0.36164383561643837
1203,2015-02-12,2015-06-24,0.0735,put,2.2,0.36164383561643837
753,2015-02-12,2015-06-24,0.2672,call,2.2,0.36164383561643837
1383,2015-02-12,2015-06-24,0.111,put,2.3,0.36164383561643837
4270,2015-02-12,2015-09-23,0.262,put,2.5,0.6109589041095891
3,2015-02-12,2015-03-25,0.2109,call,2.2,0.11232876712328767
171,2015-02-12,2015-03-25,0.032,put,2.25,0.11232876712328767
115,2015-02-12,2015-03-25,0.0736,call,2.4,0.11232876712328767
59,2015-02-12,2015-03-25,0.1323,call,2.3,0.11232876712328767
31,2015-02-12,2015-03-25,0.169,call,2.25,0.11232876712328767
143,2015-02-12,2015-03-25,0.0224,put,2.2,0.11232876712328767
87,2015-02-12,2015-03-25,0.1009,call,2.35,0.11232876712328767
